ranking,artist,title,last_week_rank,peak_position,weeks_on_chart,chart_date
1,米津玄師,Lemon,4.0,1,46,2019-01-07
2,DA PUMP,U.S.A.,3.0,2,31,2019-01-07
3,D/Zeal,ハーモニクス,,3,2,2019-01-07
4,米津玄師,Flamingo,5.0,4,11,2019-01-07
5,あいみょん,今夜このまま,7.0,5,10,2019-01-07
6,三浦大知,Blizzard,2.0,6,7,2019-01-07
7,あいみょん,マリーゴールド,13.0,3,25,2019-01-07
8,Uru,プロローグ,6.0,8,9,2019-01-07
9,乃木坂46,帰り道は遠回りしたくなる,17.0,8,11,2019-01-07
10,back number,クリスマスソング,11.0,10,36,2019-01-07
11,クイーン,ボヘミアン・ラプソディ,14.0,11,9,2019-01-07
12,星野源,Pop,8.0,12,4,2019-01-07
13,back number,オールドファッション,9.0,13,10,2019-01-07
14,山下達郎,クリスマス・イブ,15.0,14,42,2019-01-07
15,SKE48,Stand,16.0,15,3,2019-01-07
16,マライア・キャリー,恋人たちのクリスマス,19.0,16,49,2019-01-07
17,KinKi Kids,会いたい、会いたい、会えない。,1.0,17,7,2019-01-07
18,吉本坂46,泣かせてくれよ,,18,1,2019-01-07
19,MISIA,アイノカタチ,47.0,4,22,2019-01-07
20,乃木坂46,シンクロニシティ,,13,25,2019-01-07
21,欅坂46,アンビバレント,10.0,21,23,2019-01-07
22,TWICE,YES,20.0,20,8,2019-01-07
23,稲垣吾郎,SUZUNARI,22.0,23,2,2019-01-07
24,あいみょん,君はロックを聴かない,25.0,13,36,2019-01-07
25,DAOKO × 米津玄師,打上花火,33.0,11,73,2019-01-07
26,米津玄師,LOSER,38.0,11,95,2019-01-07
27,ワム!,ラスト・クリスマス,30.0,27,39,2019-01-07
28,クイーン,伝説のチャンピオン,27.0,28,7,2019-01-07
29,菅田将暉,さよならエレジー,34.0,18,49,2019-01-07
30,BoA,メリクリ,28.0,30,31,2019-01-07
31,あいみょん,愛を伝えたいだとか,31.0,15,39,2019-01-07
32,クイーン,ドント・ストップ・ミー・ナウ,39.0,32,7,2019-01-07
33,HY,366日,21.0,33,13,2019-01-07
34,千(立花慎之介),千年先もずっと…,,34,1,2019-01-07
35,新しい地図 join ミュージック,#SINGING,24.0,35,3,2019-01-07
36,エド・シーラン,シェイプ・オブ・ユー,51.0,36,103,2019-01-07
37,ONE OK ROCK,Stand,26.0,15,6,2019-01-07
38,Little Glee Monster,世界はあなたに笑いかけている,77.0,14,18,2019-01-07
39,Mrs.GREEN APPLE,僕のこと,,7,1,2019-01-07
40,星野源,アイデア,50.0,9,19,2019-01-07
41,LiSA,ADAMAS,23.0,35,15,2019-01-07
42,TWICE,What,32.0,42,38,2019-01-07
43,ももいろクローバーZ,Sweet,62.0,43,2,2019-01-07
44,星野源,恋,42.0,44,106,2019-01-07
45,レディー・ガガ、ブラッドリー・クーパー,シャロウ〜『アリー/,57.0,44,5,2019-01-07
46,米津玄師,アイネクライネ,55.0,27,90,2019-01-07
47,桑田佳祐 & The Pin Boys,レッツゴーボウリング,,6,2,2019-01-07
48,クイーン,レディオ・ガ・ガ,37.0,48,5,2019-01-07
49,クイーン,ウィ・ウィル・ロック・ユー,46.0,40,8,2019-01-07
50,B'z,いつかのメリークリスマス,60.0,50,21,2019-01-07
51,米津玄師,ピースサイン,65.0,22,85,2019-01-07
52,レミオロメン,粉雪,84.0,52,28,2019-01-07
53,クイーン,キラー・クイーン,54.0,53,6,2019-01-07
54,IZ*ONE,La,36.0,49,9,2019-01-07
55,BLACKPINK,DDU-DU,80.0,55,29,2019-01-07
56,SEKAI NO OWARI,イルミネーション,45.0,56,12,2019-01-07
57,みきとP,ロキ,58.0,45,35,2019-01-07
58,ヤバイTシャツ屋さん,かわE,49.0,58,4,2019-01-07
59,スキマスイッチ,奏(かなで),71.0,59,108,2019-01-07
60,アリアナ・グランデ,サンキュー、ネクスト,48.0,51,8,2019-01-07
61,ONE OK ROCK,Wherever,,61,153,2019-01-07
62,ビッケブランカ,まっしろ,40.0,62,10,2019-01-07
63,アリアナ・グランデ,サンタ・テル・ミー,89.0,63,8,2019-01-07
64,米津玄師,灰色と青(+,,37,46,2019-01-07
65,中島美嘉,雪の華,82.0,43,13,2019-01-07
66,平井堅,half,61.0,66,12,2019-01-07
67,OxT,UNION,90.0,67,7,2019-01-07
68,東方神起,Truth,,68,1,2019-01-07
69,クイーン,愛にすべてを,75.0,69,6,2019-01-07
70,DA PUMP,if...,56.0,59,12,2019-01-07
71,Nissy(西島隆弘),トリコ,95.0,71,20,2019-01-07
72,Mr.Children,HANABI,74.0,72,68,2019-01-07
73,クイーン,ボーン・トゥ・ラヴ・ユー,72.0,73,10,2019-01-07
74,Sexy Zone,カラクリだらけのテンダネス,44.0,51,4,2019-01-07
75,あいみょん,貴方解剖純愛歌〜死ね〜,87.0,48,3,2019-01-07
76,BTS (防弾少年団),FAKE,64.0,60,33,2019-01-07
77,ジョン・レノン,ハッピー・クリスマス(戦争は終った),,77,26,2019-01-07
78,DEEP,WISH,,78,1,2019-01-07
79,シャイニーカラーズ,SNOW,18.0,79,2,2019-01-07
80,欅坂46,サイレントマジョリティー,85.0,67,144,2019-01-07
81,ジェジュン,Defiance,,61,12,2019-01-07
82,King & Prince,シンデレラガール,63.0,33,31,2019-01-07
83,THE CHARM PARK,Imperfection,68.0,83,4,2019-01-07
84,桑田佳祐,白い恋人達,93.0,84,30,2019-01-07
85,あいみょん,生きていたんだよな,96.0,41,5,2019-01-07
86,Official髭男dism,Stand,81.0,15,12,2019-01-07
87,MONGOL800,小さな恋のうた,,87,11,2019-01-07
88,TWICE,TT,,43,109,2019-01-07
89,MISIA,Everything,,80,2,2019-01-07
90,中島みゆき,糸,,87,15,2019-01-07
91,back number,瞬き,91.0,91,45,2019-01-07
92,欅坂46,ガラスを割れ!,,24,37,2019-01-07
93,Shuta Sueyoshi feat.ISSA,Over,100.0,86,7,2019-01-07
94,BUMP OF CHICKEN,話がしたいよ,,94,10,2019-01-07
95,back number,大不正解,,91,18,2019-01-07
96,サカナクション,新宝島,,79,68,2019-01-07
97,Mrs.GREEN APPLE,青と夏,,97,19,2019-01-07
98,米津玄師,orion,,49,54,2019-01-07
99,AAA,笑顔のループ,78.0,9,4,2019-01-07
100,嶋大輔,男の勲章,73.0,100,2,2019-01-07
1,米津玄師,Lemon,1.0,1,47,2019-01-14
2,DA PUMP,U.S.A.,2.0,2,32,2019-01-14
